pk_participation;annee;sources;fk_personne;fk_evenement;fk_lieu;fk_liste
1;1971;n47, congrès du parti ouvrier et populaire neuchatelois, résolution;2;1;7;
2;1971;n47, congrès du parti ouvrier et populaire neuchatelois, résolution;4;2;7;
3;1979;n47, 20e congrès du POP, Congrès du 31 mars 1979;8;1;7;
4;1971;n216, procès-verbaux section cantonal,  XVIIe congrès cantonal du POP, La Chaux-de-Fonds – 26.6.1971;111;1;7;
5;1971;n216, procès-verbaux section cantonal,  XVIIe congrès cantonal du POP, La Chaux-de-Fonds – 26.6.1971;61;1;7;
6;1971;n216, procès-verbaux section cantonal,  XVIIe congrès cantonal du POP, La Chaux-de-Fonds – 26.6.1971;19;1;7;
7;1971;n216, procès-verbaux section cantonal,  XVIIe congrès cantonal du POP, La Chaux-de-Fonds – 26.6.1971;84;1;7;
8;1957;4CHA-2/25;12;3;1;
9;1957;"4CHA-2/25
";13;3;1;
10;1975;"POP 101 - tracts POP
- journal éléctions nationales 25-26 octobre 1975";2;2;7;
11;1975;"""POP 101 - tracts POP
- journal éléctions nationales 25-26 octobre 1975""";76;1;7;
12;1975;"POP 101 - tracts POP
- journal éléctions nationales 25-26 octobre 1975";84;1;7;
13;1975;"""POP 101 - tracts POP
- journal éléctions nationales 25-26 octobre 1975""";115;1;7;
14;1975;"""POP 101 - tracts POP
- journal éléctions nationales 25-26 octobre 1975""";118;1;7;
15;1975;"""POP 101 - tracts POP
- journal éléctions nationales 25-26 octobre 1975""";61;1;7;
17;1957;4CHA-2/25;13;3;1;
18;1957;4CHA-2/25;14;3;1;
19;1953;4CHA-2/24;15;3;1;
20;1953;4CHA-2/24;16;3;1;
21;1953;4CHA-2/24;17;3;1;
22;1961;4CHA-2/25;18;3;1;
23;1953;4CHA-2/20;19;3;1;
24;1957;4CHA-2/21;19;3;1;
25;1961;4CHA-2/22;19;3;1;
26;1965;4CHA-2/23;19;3;1;
27;1969;4CHA-2/24;19;3;1;
28;1961;4CHA-2/25;20;3;1;
29;1961;4CHA-2/25;21;3;1;
30;1965;4CHA-2/25;21;3;1;
31;1961;4CHA-2/24;22;3;1;
32;1961;4CHA-2/25;23;3;1;
33;1957;4CHA-2/24;24;3;1;
34;1961;4CHA-2/24;24;3;1;
35;1961;4CHA-2/25;25;3;1;
36;1953;4CHA-2/24;26;3;1;
37;1957;4CHA-2/24;26;3;1;
38;1961;4CHA-2/24;26;3;1;
39;1965;4CHA-2/25;27;3;1;
40;1969;4CHA-2/25;27;3;1;
41;1973;4CHA-2/25;27;3;1;
42;1977;4CHA-2/25;27;3;1;
43;1965;4CHA-2/25;28;3;1;
44;1965;4CHA-2/25;29;3;1;
45;1969;4CHA-2/25;29;3;1;
46;1969;4CHA-2/26;30;3;1;
47;1969;4CHA-2/25;31;3;1;
48;1969;4CHA-2/26;6;3;1;
49;1969;4CHA-2/26;33;3;1;
50;1973;4CHA-2/26;33;3;1;
51;1969;4CHA-2/26;34;3;1;
52;1969;4CHA-2/26;35;3;1;
53;1969;4CHA-2/26;36;3;1;
54;1953;4CHA-2/26;37;3;1;
55;1957;4CHA-2/26;37;3;1;
56;1969;4CHA-2/26;37;3;1;
57;1969;4CHA-2/26;38;3;1;
58;1969;4CHA-2/26;39;3;1;
59;1969;4CHA-2/26;40;3;1;
60;1969;4CHA-2/26;41;3;1;
61;1973;4CHA-2/26;41;3;1;
62;1977;4CHA-2/26;41;3;1;
63;1973;4CHA-2/26;42;3;1;
64;1973;4CHA-2/26;43;3;1;
65;1969;4CHA-2/26;8;3;1;
66;1973;4CHA-2/26;8;3;1;
67;1977;4CHA-2/26;8;3;1;
68;1977;4CHA-2/27;44;3;1;
69;1977;4CHA-2/27;45;3;1;
70;1977;4CHA-2/27;46;3;1;
71;1977;4CHA-2/27;47;3;1;
