pk_lieu;nom;district;canton;pk_personne
1;neuchatel;neuchatel;NE;
2;boudry;boudry;NE;
3;val-de-ruz;val-de-rut;NE;
4;val-de-travers;val-de-travers;NE;
5;le_locle;le_locle;NE;
6;la_chaux-de-fonds;la_chaux-de-fonds;NE;
7;berne;;BE;
8;le_locle;;NE;
9;le_chenit;;VD;
10;boudry;;LU;
11;escholzmatt;;FR;
12;bas-vuilly;;VD;
13;champmatin;;VD;
14;brot-dessous;;NE;
15;Grandson;;VD;
16;Inwil;;LU;
17;fribourg;;FR;
18;boufol;;BE;
19;villier;;;
20;haut-vuilly;;FR;
21;buttes;;NE;
22;schangnau;;BE;
23;buix;;BE;
24;sanen;;FR;
25;bos-vully;;FR;
26;cully_colombier;;NE;
27;buttes;;NE;
28;ringgenber;;;
29;concise;;VD;
30;rochefort;;NE;
31;la_joux;;BE;
32;fresens;;;
33;chaux-de-fonds;;NE;
34;st-cierges;;VD;
35;eriswill;;BE;
36;geneveys-sur-coffrane;;NE;
37;chardonne;;;
38;boncourt;;JU;
39;lindau;;;
40;zurich;;ZU;
41;altavilla;;FR;
42;la_sagne;;NE;
43;courrendlin;;;
44;mühleberg;;BE;
45;st-cierges;;VD;
46;vuippens;;FR;
47;reckingen;;VS;
48;cheseaux;;;
49;langnau;;BE;
50; les_brenets;;NE;
51;dompierre;;FR;
52;la_roche_pont_la_ville;;FR;
53; les_ponts;;NE;
54; la_brévine;;NE;
55;étagnières;;VD;
56;herznach;;AG;
57;sigriswil;;BE;
58;orvin;;;
59;bioggio;;;
60;massonnens;;;
61;boudevilliers;;NE;
62;neuchatel;;NE;
63;meilen;;ZH;
64;travers;;NE;
65;bevaix;;VD;
66;oderburg;;BE;
67;rochefort;;NE;
68;les_breleux;;JU;
69;penthaux;;VD;
70;ueberstorf;;FR;
71;neuchatel;;NE;
72;schangnau;;BE;
73;lötswil;;BE;
74;aeschi;;BE;
75;ringgenberg;;BE;
76;buttes;;NE;
77;schüpfen;;BE;
78;eiken;;AG;
79;hasle_BE;;BE;
80;le_noirmont;;JU;
81;bâle;;BS;
82;aeschi;;BE;
83;buchholterberg;;;
84;vinelz;;BE;
85;sigriswil;;BE;
86;les_planchettes;;NE;
87;wattenwil;;BE;
88;saulcy;;JU;
89;brienzwiler;;BE;
90;la_sagne;;NE;
91;ochlenberg;;BE;
92;ponthaux;;FR;
93;langnau;;BE;
