id;nom;prenom;genre;election;district;candidature
1;blant-mojon;colette;F;election_parlement;boudry;1961
2;corswant;marcelle;F;election_parlement;la_chaux-de-fonds;1961
3;beuret;helene;F;election_parlement;la_chaux-de-fonds;1961
4;greub;margot;F;election_parlement;la_chaux-de-fonds;1961
5;aeschlimann;jeanne-marie;F;election_parlement;le_locle;1965
6;huther;josette;F;election_parlement;neuchatel;1969
8;Eplattenier;lily;F;election_parlement;neuchatel;1969
11;bottani;anna;F;election_parlement;le_locle;1977
12;robert;eugene;M;election_parlement;neuchatel;1957
13;meylan;rene;M;election_parlement;neuchatel;1957
14;barbier;jean-louis;M;election_parlement;neuchatel;1957
15;lauber;marcel;M;election_parlement;neuchatel;1953
16;chervet;georges;M;election_parlement;neuchatel;1953
17;bing;gilbert;M;election_parlement;neuchatel;1953
18;beck;daisy;F;election_parlement;neuchatel;1961
19;duvanel;jean;M;election_parlement;neuchatel;1953
20;de_ribaupierre;rene;M;election_parlement;neuchatel;1961
21;sidler;louis;M;election_parlement;neuchatel;1961
22;castella;charles;M;election_parlement;neuchatel;1961
23;vernier;angele;M;election_parlement;neuchatel;1961
24;cachelin;georges;M;election_parlement;neuchatel;1957
25;gaillet;louis;M;election_parlement;neuchatel;1961
26;leuba;clovis;M;election_parlement;neuchatel;1953
27;hirschi;gerard;M;election_parlement;neuchatel;1965
28;pluss;esther;F;election_parlement;neuchatel;1965
29;de_ribaupierre;suzanne;F;election_parlement;neuchatel;1965
30;annen;daniel;M;election_parlement;neuchatel;1969
31;guillod;jacques;M;election_parlement;neuchatel;1969
33;leuba;pierre;M;election_parlement;neuchatel;1969
34;michel;paul;M;election_parlement;neuchatel;1969
35;payot;francois;M;election_parlement;neuchatel;1969
36;pingeon;gilbert;M;election_parlement;neuchatel;1969
37;perret-gentil;rene;M;election_parlement;neuchatel;1953
38;rebetez;francois;M;election_parlement;neuchatel;1969
39;scuri;paul;M;election_parlement;neuchatel;1969
40;wulser;hugues;M;election_parlement;neuchatel;1969
41;dind;jacques;M;election_parlement;neuchatel;1969
42;eggimann;chantal;M;election_parlement;neuchatel;1973
43;greub;andre;M;election_parlement;neuchatel;1973
44;emery;anne-lise;F;election_parlement;neuchatel;1977
45;girardet;james;M;election_parlement;neuchatel;1977
46;kuhn;joelle;M;election_parlement;neuchatel;1977
47;rollier;daisy;F;election_parlement;neuchatel;1977
48;schukthess;daniel;M;election_parlement;neuchatel;1977
49;gaberelle;jean-michel;M;election_parlement;boudry;1977
50;humbert;fred-alain;M;election_parlement;boudry;1977
51;lenoble;francoise;F;election_parlement;boudry;1977
53;gremaud;armand;M;election_parlement;val-de-ruz;1969
54;sandoz;alain;M;election_parlement;val-de-ruz;1969
55;vuilleumier;raymond;M;election_parlement;val-de-ruz;1969
56;vuilleme;gilbert;M;election_parlement;val-de-travers;1961
57;lagger;paul;M;election_parlement;val-de-travers;1969
58;troyon;ginette;F;election_parlement;val-de-travers;1969
59;maire;marcel;M;election_parlement;le_locle;1957
60;wegmuller;roger;M;election_parlement;le_locle;1957
61;blaser;frederic;M;election_parlement;le_locle;1953
62;quartier;louisette;F;election_parlement;le_locle;1961
63;brigadoi;alois;M;election_parlement;le_locle;1953
64;blaser;jean;M;election_parlement;le_locle;1953
65;brodars;jean;M;election_parlement;le_locle;1961
66;friolet;charles;M;election_parlement;le_locle;1953
67;huguenin;charles;M;election_parlement;le_locle;1953
68;huguenin;jean;M;election_parlement;le_locle;1961
70;donze;laurent;M;election_parlement;le_locle;1965
71;huguenin;micheline;F;election_parlement;le_locle;1965
72;quartier;marcel;M;election_parlement;le_locle;1953
73;emery;michel;M;election_parlement;le_locle;1969
74;leimburger;claude;M;election_parlement;le_locle;1969
