id;nom;prenom;genre;election;district;candidature
2;corswant;marcelle;F;election_parlement;la_chaux-de-fonds;1965
3;beuret;helene;F;election_parlement;la_chaux-de-fonds;1965
4;greub;margot;F;election_parlement;la_chaux-de-fonds;1965
5;aeschlimann;jeanne-marie;F;election_parlement;le_locle;1965
19;duvanel;jean;M;election_parlement;neuchatel;1965
21;sidler;louis;M;election_parlement;neuchatel;1965
27;hirschi;gerard;M;election_parlement;neuchatel;1965
28;pluss;esther;F;election_parlement;neuchatel;1965
29;de_ribaupierre;suzanne;F;election_parlement;neuchatel;1965
37;perret-gentil;rene;M;election_parlement;boudry;1965
61;blaser;frederic;M;election_parlement;le_locle;1965
63;brigadoi;alois;M;election_parlement;le_locle;1965
64;blaser;jean;M;election_parlement;le_locle;1965
66;friolet;charles;M;election_parlement;le_locle;1965
67;huguenin;charles;M;election_parlement;le_locle;1965
70;donze;laurent;M;election_parlement;le_locle;1965
71;huguenin;micheline;F;election_parlement;le_locle;1965
72;quartier;marcel;M;election_parlement;le_locle;1965
83;roulet;charles;M;election_parlement;la_chaux-de-fonds;1965
84;steiger;jean;M;election_parlement;la_chaux-de-fonds;1965
85;vuilleumier;maurice;M;election_parlement;la_chaux-de-fonds;1965
94;broillet;etienne;M;election_parlement;la_chaux-de-fonds;1965
95;bruhlhart;georges;M;election_parlement;la_chaux-de-fonds;1965
109;blant;rene;M;election_parlement;la_chaux-de-fonds;1965
110;dubois;andre;M;election_parlement;la_chaux-de-fonds;1965
111;dubois;jean-pierre;M;election_parlement;la_chaux-de-fonds;1965
112;froidevaux;denis;M;election_parlement;la_chaux-de-fonds;1965
113;gysin;yolande;F;election_parlement;la_chaux-de-fonds;1965
114;huguenin;gabrielle;F;election_parlement;la_chaux-de-fonds;1965
115;lengacher;henri;M;election_parlement;la_chaux-de-fonds;1965
116;roulet;genevieve;F;election_parlement;la_chaux-de-fonds;1965
