id;nom;prenom;genre;election;district;candidature
1;blant-mojon;colette;F;election_parlement;boudry;1961
2;corswant;marcelle;F;election_parlement;la_chaux-de-fonds;1961
3;beuret;helene;F;election_parlement;la_chaux-de-fonds;1961
4;greub;margot;F;election_parlement;la_chaux-de-fonds;1961
5;aeschlimann;jeanne-marie;F;election_parlement;le_locle;1965
6;huther;josette;F;election_parlement;neuchatel;1969
8;Eplattenier;lily;F;election_parlement;neuchatel;1969
11;bottani;anna;F;election_parlement;le_locle;1977
18;beck;daisy;F;election_parlement;neuchatel;1961
28;pluss;esther;F;election_parlement;neuchatel;1965
29;de_ribaupierre;suzanne;F;election_parlement;neuchatel;1965
44;emery;anne-lise;F;election_parlement;neuchatel;1977
47;rollier;daisy;F;election_parlement;neuchatel;1977
51;lenoble;francoise;F;election_parlement;boudry;1977
58;troyon;ginette;F;election_parlement;val-de-travers;1969
62;quartier;louisette;F;election_parlement;le_locle;1961
71;huguenin;micheline;F;election_parlement;le_locle;1965
76;huguenin;marianne;F;election_parlement;le_locle;1973
100;lengacher;madeleine;F;election_parlement;la_chaux-de-fonds;1961
102;schweizer;elisabeth;F;election_parlement;la_chaux-de-fonds;1961
113;gysin;yolande;F;election_parlement;la_chaux-de-fonds;1965
114;huguenin;gabrielle;F;election_parlement;la_chaux-de-fonds;1965
116;roulet;genevieve;F;election_parlement;la_chaux-de-fonds;1965
121;vuilleumier;claudine;F;election_parlement;la_chaux-de-fonds;1973
122;berger;helene;F;election_parlement;la_chaux-de-fonds;1977
124;cerf;michele;F;election_parlement;la_chaux-de-fonds;1977
126;vuille;nicole;F;election_parlement;la_chaux-de-fonds;1977
289;papetti;chantal;F;election_parlement;boudry;1977
