"subject_uri","target_uri","field","birthYear"
"http://dbpedia.org/resource/Johannes_Engel","http://dbpedia.org/resource/Astronomer","Astronomer",1453
"http://dbpedia.org/resource/Domenico_Maria_Novara_da_Ferrara","http://dbpedia.org/resource/Astronomy","Astronomy",1454
"http://dbpedia.org/resource/Scipione_del_Ferro","http://dbpedia.org/resource/Mathematics","Mathematics",1465
"http://dbpedia.org/resource/Estienne_de_La_Roche","http://dbpedia.org/resource/Mathematician","Mathematician",1470
"http://dbpedia.org/resource/Nicolaus_Copernicus","http://dbpedia.org/resource/Astronomy","Astronomy",1473
"http://dbpedia.org/resource/Nicolaus_Copernicus","http://dbpedia.org/resource/Canon_law_of_the_Catholic_Church","Canon law of the Catholic Church",1473
"http://dbpedia.org/resource/Heinrich_Cornelius_Agrippa","http://dbpedia.org/resource/Occult","Occult",1486
"http://dbpedia.org/resource/Heinrich_Cornelius_Agrippa","http://dbpedia.org/resource/Soldier","Soldier",1486
"http://dbpedia.org/resource/Heinrich_Cornelius_Agrippa","http://dbpedia.org/resource/Physician","Physician",1486
"http://dbpedia.org/resource/Heinrich_Cornelius_Agrippa","http://dbpedia.org/resource/Theology","Theology",1486
"http://dbpedia.org/resource/Nicholas_Kratzer","http://dbpedia.org/resource/Mathematician","Mathematician",1487
"http://dbpedia.org/resource/Nicholas_Kratzer","http://dbpedia.org/resource/Astronomer","Astronomer",1487
"http://dbpedia.org/resource/Nicholas_Kratzer","http://dbpedia.org/resource/Horologist","Horologist",1487
"http://dbpedia.org/resource/Matteo_Tafuri","http://dbpedia.org/resource/Astrology","Astrology",1492
"http://dbpedia.org/resource/Matteo_Tafuri","http://dbpedia.org/resource/Philosophy","Philosophy",1492
"http://dbpedia.org/resource/Matteo_Tafuri","http://dbpedia.org/resource/Medicine","Medicine",1492
"http://dbpedia.org/resource/Adam_Ries","http://dbpedia.org/resource/Mathematics","Mathematics",1492
"http://dbpedia.org/resource/Francesco_Maurolico","http://dbpedia.org/resource/Mathematics","Mathematics",1494
"http://dbpedia.org/resource/Francesco_Maurolico","http://dbpedia.org/resource/Mechanics","Mechanics",1494
"http://dbpedia.org/resource/Francesco_Maurolico","http://dbpedia.org/resource/Geometry","Geometry",1494
"http://dbpedia.org/resource/Francesco_Maurolico","http://dbpedia.org/resource/Music","Music",1494
"http://dbpedia.org/resource/Francesco_Maurolico","http://dbpedia.org/resource/Astronomy","Astronomy",1494
"http://dbpedia.org/resource/Francesco_Maurolico","http://dbpedia.org/resource/Optics","Optics",1494
