,relation,periode,effectif
0,Argentina-Argentina,1451-1800,0
1,Argentina-Argentina,1801-1850,0
2,Argentina-Argentina,1851-1900,0
3,Argentina-Argentina,1901-1950,0
4,Argentina-Argentina,1951-2000,2
5,Argentina-Germany,1451-1800,0
6,Argentina-Germany,1801-1850,0
7,Argentina-Germany,1851-1900,0
8,Argentina-Germany,1901-1950,1
9,Argentina-Germany,1951-2000,0
10,Argentina-Puerto Rico,1451-1800,0
11,Argentina-Puerto Rico,1801-1850,0
12,Argentina-Puerto Rico,1851-1900,0
13,Argentina-Puerto Rico,1901-1950,1
14,Argentina-Puerto Rico,1951-2000,0
15,Argentina-United States of America,1451-1800,0
16,Argentina-United States of America,1801-1850,0
17,Argentina-United States of America,1851-1900,0
18,Argentina-United States of America,1901-1950,3
19,Argentina-United States of America,1951-2000,1
20,Armenia-Armenia,1451-1800,0
21,Armenia-Armenia,1801-1850,0
22,Armenia-Armenia,1851-1900,0
23,Armenia-Armenia,1901-1950,5
24,Armenia-Armenia,1951-2000,0
25,Armenia-Russia,1451-1800,0
26,Armenia-Russia,1801-1850,0
27,Armenia-Russia,1851-1900,0
28,Armenia-Russia,1901-1950,4
29,Armenia-Russia,1951-2000,0
30,Australia-Australia,1451-1800,0
31,Australia-Australia,1801-1850,0
32,Australia-Australia,1851-1900,0
33,Australia-Australia,1901-1950,3
34,Australia-Australia,1951-2000,2
35,Australia-New Zealand,1451-1800,0
36,Australia-New Zealand,1801-1850,0
37,Australia-New Zealand,1851-1900,0
38,Australia-New Zealand,1901-1950,1
39,Australia-New Zealand,1951-2000,0
40,Australia-United Kingdom,1451-1800,0
41,Australia-United Kingdom,1801-1850,0
42,Australia-United Kingdom,1851-1900,0
43,Australia-United Kingdom,1901-1950,8
44,Australia-United Kingdom,1951-2000,2
45,Australia-United States of America,1451-1800,0
46,Australia-United States of America,1801-1850,0
47,Australia-United States of America,1851-1900,0
48,Australia-United States of America,1901-1950,1
49,Australia-United States of America,1951-2000,0
50,Austria-Austria,1451-1800,2
51,Austria-Austria,1801-1850,1
52,Austria-Austria,1851-1900,6
53,Austria-Austria,1901-1950,2
54,Austria-Austria,1951-2000,0
55,Austria-France,1451-1800,0
56,Austria-France,1801-1850,0
57,Austria-France,1851-1900,0
58,Austria-France,1901-1950,0
59,Austria-France,1951-2000,1
60,Austria-Germany,1451-1800,0
61,Austria-Germany,1801-1850,0
62,Austria-Germany,1851-1900,0
63,Austria-Germany,1901-1950,0
64,Austria-Germany,1951-2000,2
65,Austria-Poland,1451-1800,0
66,Austria-Poland,1801-1850,1
67,Austria-Poland,1851-1900,0
68,Austria-Poland,1901-1950,0
69,Austria-Poland,1951-2000,0
70,Austria-United Kingdom,1451-1800,0
71,Austria-United Kingdom,1801-1850,0
72,Austria-United Kingdom,1851-1900,0
73,Austria-United Kingdom,1901-1950,0
74,Austria-United Kingdom,1951-2000,2
75,Austria-United States of America,1451-1800,0
76,Austria-United States of America,1801-1850,0
77,Austria-United States of America,1851-1900,1
78,Austria-United States of America,1901-1950,0
79,Austria-United States of America,1951-2000,0
80,Bangladesh-Canada,1451-1800,0
81,Bangladesh-Canada,1801-1850,0
82,Bangladesh-Canada,1851-1900,0
83,Bangladesh-Canada,1901-1950,3
84,Bangladesh-Canada,1951-2000,0
85,Bangladesh-United States of America,1451-1800,0
86,Bangladesh-United States of America,1801-1850,0
87,Bangladesh-United States of America,1851-1900,0
88,Bangladesh-United States of America,1901-1950,1
89,Bangladesh-United States of America,1951-2000,0
90,Belgium-Belgium,1451-1800,0
91,Belgium-Belgium,1801-1850,0
92,Belgium-Belgium,1851-1900,0
93,Belgium-Belgium,1901-1950,1
94,Belgium-Belgium,1951-2000,0
95,Belgium-Germany,1451-1800,0
96,Belgium-Germany,1801-1850,0
97,Belgium-Germany,1851-1900,0
98,Belgium-Germany,1901-1950,0
99,Belgium-Germany,1951-2000,2
100,Belgium-Iran,1451-1800,0
101,Belgium-Iran,1801-1850,0
102,Belgium-Iran,1851-1900,0
103,Belgium-Iran,1901-1950,1
104,Belgium-Iran,1951-2000,0
105,Belgium-Netherlands,1451-1800,0
106,Belgium-Netherlands,1801-1850,0
107,Belgium-Netherlands,1851-1900,2
108,Belgium-Netherlands,1901-1950,0
109,Belgium-Netherlands,1951-2000,0
110,Belgium-United Kingdom,1451-1800,0
111,Belgium-United Kingdom,1801-1850,0
112,Belgium-United Kingdom,1851-1900,0
113,Belgium-United Kingdom,1901-1950,0
114,Belgium-United Kingdom,1951-2000,1
115,Belgium-United States of America,1451-1800,0
116,Belgium-United States of America,1801-1850,0
117,Belgium-United States of America,1851-1900,0
118,Belgium-United States of America,1901-1950,1
