id|name|year|occupations
3|Johannes Engel|1453|Astronomy
4|Domenico Maria Novara da Ferrara|1454|Astronomy
5|Scipione del Ferro|1465|Mathematics
6|Nicolaus Copernicus|1473|Astronomy,Canon law of the Catholic Church
8|Heinrich Cornelius Agrippa|1486|Soldier,Occult,Physician,Theology
9|Matteo Tafuri|1492|Astrology,Medicine,Philosophy
10|Adam Ries|1492|Mathematics
12|Oronce Finé|1494|Cartography
14|Nostradamus|1503|Astrology
15|Erasmus Reinhold|1511|Mathematics,Astronomy
16|Georg Joachim Rheticus|1514|Mathematics,Astronomy
17|Jacques Pelletier du Mans|1517|Poet,Mathematician,Humanism
19|Lodovico Ferrari|1522|Mathematics
20|Peter Agricola|1525|Diplomat,Humanism,Teacher,Theology
22|John Dee|1527|Alchemy,Astrology,Navigation,Mathematics,Hermeticism
23|Giambattista Benedetti|1530|Mathematics
24|Christopher Clavius|1538|Mathematics,Astronomy
25|Ludolph van Ceulen|1540|Mathematics
26|Ostilio Ricci|1540|Mathematics
27|Tycho Brahe|1546|Astronomy
30|John Napier|1550|Mathematics
31|Simon Forman|1552|Alchemy,Astrology,Physician
32|Jost Bürgi|1552|Mathematics
33|Petrus Ryff|1552|Astronomy,Mathematics,Medicine
36|Henry Briggs (mathematician)|1561|Mathematics,Astronomy
37|Christen Sørensen Longomontanus|1562|Astronomy
38|Galileo Galilei|1564|Astronomy,Engineering,Mathematics,Physics,Natural philosophy
41|Tommaso Campanella|1568|Astrology,Philosopy
42|Marino Ghetaldi|1568|Mathematician,Physicist
43|Johannes Kepler|1571|Astrology,Astronomy,Mathematics,Natural philosophy
44|Adriaan Metius|1571|Geometry,Astronomy
45|Simon Marius|1573|Astronomy
46|Robert Fludd|1574|Astrology,Physician
48|Anne Turner (murderer)|1576|Handmaiden,Maidservant
49|Paul Guldin|1577|Mathematician,Astronomy,Jesuit,Mathematics
50|Willebrord Snellius|1580|Astronomy,Mathematics
51|Godefroy Wendelin|1580|Astronomy,Meteorology,Patristics,Metereology
52|Claude Gaspar Bachet de Méziriac|1581|Mathematician
53|Mario Bettinus|1582|Scientist,Mathematician,Philosopy,Jesuit
54|Niccolò Zucchi|1586|Astronomy
56|Ole Worm|1588|Natural history,Antiquarian,Physician
57|Johann Adam Schall von Bell|1591|Astronomy,Religion
60|Giovanni Battista Riccioli|1598|Astronomy
61|Ovidio Montalbani|1601|History,Mathematician,Astronomy,Dialectology,Physicist
62|Florimond de Beaune|1601|Mathematics
63|William Lilly|1602|Astrology,Author,Translation
64|Gilles de Roberval|1602|Mathematics
65|Placidus de Titis|1603|Monk,Astrology,Mathematician,Astronomy
66|Ismaël Bullialdus|1605|Astronomy
67|Vincentio Reinieri|1606|Mathematician,Astronomy
68|Juan Caramuel y Lobkowitz|1606|Mathematician
69|Pierre de Fermat|1607|Mathematics,Law
70|Giovanni Alfonso Borelli|1608|Mathematics,Physicist,Physiology,Physiologist
71|Honoré Fabri|1608|Mathematician,Physicist,Jesuit
72|Johannes Hevelius|1611|Astronomy,Brewing,Jurisprudence
73|John Pell (mathematician)|1611|Linguistics,Mathematics
74|Nicholas Culpeper|1616|Astrology,Herbal medicine,Botany,Medicine
75|Thomas Bartholin|1616|Medicine
76|Elias Ashmole|1617|Alchemy,Astrology,Officer of arms,Antiquarian
77|Francesco Maria Grimaldi|1618|Mathematics,Physics
79|Jean Picard|1620|Astronomy
80|Magnus Celsius|1621|Astronomy,Mathematics
81|Vincenzo Viviani|1622|Mathematics,Physicist
82|René-François de Sluse|1622|Mathematician
85|Giovanni Domenico Cassini|1625|Astrology,Mathematics
86|Erhard Weigel|1625|Mathematics,Astronomy,Philosophy
87|William Ramsay (astrologer)|1626|Astrology,Physician
88|Johannes Hudde|1628|Mathematics
90|Richard Towneley|1629|Astronomy,Mathematics,Natural philosophy
92|Alessandro Marchetti (mathematician)|1633|Mathematician
93|Francis Willughby|1635|Ornithology,Ichthyology
94|Gottfried Kirch|1639|Astronomy
95|Philippe de La Hire|1640|Astronomy,Architecture,Mathematics
96|Bernard Lamy|1640|Mathematics
97|Jacques Ozanam|1640|Mathematician
98|Isaac Newton|1642|Alchemy,Astronomy,Physics,Natural philosophy
99|Ole Rømer|1644|Astronomy
100|Otto Mencke|1644|Mathematics,Philosophy
102|Thomas Pereira|1645|Scientist,Mathematician,Jesuit
103|John Flamsteed|1646|Astronomy
106|Giovanni Ceva|1647|Geometry
107|Tommaso Ceva|1648|Mathematics
109|Michel Rolle|1652|Mathematics
110|William Molyneux|1656|Parliament of Ireland
111|Nicolaas Hartsoeker|1656|Mathematics,Physics,Biology
114|Thomas Fantet de Lagny|1660|Mathematics
117|Abraham de Moivre|1667|Mathematics
118|William Whiston|1667|Mathematics
119|Johann Bernoulli|1667|Mathematics
121|Maria Margaretha Kirch|1670|Astronomy,Mathematics
122|John Keill|1671|Astronomy
126|Jacopo Riccati|1676|Mathematics
127|Jacques Cassini|1677|Astronomy
128|Jean-Jacques d'Ortous de Mairan|1678|Astronomy,Geophysics,Chronobiology
129|Pierre Remond de Montmort|1678|Mathematics
130|Peder Horrebow|1679|Astronomy
131|Johann Wilhelm Wagner|1681|Astronomy
133|Roger Cotes|1682|Mathematics
135|Brook Taylor|1685|Mathematics
136|Niccolò Gianpriamo|1686|Missionary,Astronomy,Mathematics,Theology
138|Joseph-Nicolas Delisle|1688|Astronomy,Mathematics
139|Samuel Molyneux|1689|Astronomy
141|Christian Goldbach|1690|Mathematics,Law
143|Christian August Hausen|1693|Mathematics,Physics
144|Christfried Kirch|1694|Astronomy
146|Nathaniel Bliss|1700|Astronomy,Mathematics
147|Daniel Bernoulli|1700|Mathematics,Medicine,Physics
148|Anders Celsius|1701|Astronomy,Geology,Mathematics,Physics
149|William Emerson (mathematician)|1701|Mathematics
151|Ferdinand Augustin Hallerstein|1703|Demography,Astronomy,Mathematics
153|Louis Godin|1704|Astronomy
154|Gabriel Cramer|1704|Mathematics,Physics
155|Émilie du Châtelet|1706|Mathematics,Physics,Natural philosophy
156|Pietro De Martino|1707|Astronomy,Mathematics
157|Leonhard Euler|1707|Mathematics,Physics
158|Vincenzo Riccati|1707|Mathematics,Physicist
159|Georges-Louis Leclerc, Comte de Buffon|1707|Natural history
160|James Short (mathematician)|1710|Mathematics
162|Roger Joseph Boscovich|1711|Astronomy,Mathematics,Physics,Natural philosophy,Theology
163|Johann Samuel König|1712|Mathematics
164|Alexis Clairaut|1713|Mathematics
165|Jean Godin des Odonais|1713|Cartography,Natural history
166|Nicolas-Louis de Lacaille|1713|Astronomy
167|Jorge Juan y Santacilia|1713|Astronomy,Mathematics
169|César-François Cassini de Thury|1714|Cartography,Astronomy
171|Antonio de Ulloa|1716|Astronomy,Natural history,Metallurgy
173|Maria Gaetana Agnesi|1718|Mathematics
174|Abraham Gotthelf Kästner|1719|Mathematics
175|Maximilian Hell|1720|Astronomy
177|Jean-Baptiste Chappe d'Auteroche|1722|Astronomy
178|Tobias Mayer|1723|Astronomy
179|John Michell|1724|Geology,Physics
180|Franz Aepinus|1724|Astronomy,Electricity,Magnetism
182|Edme-Sébastien Jeaurat|1725|Astronomy
184|August Nathanael Grischow|1726|Astronomy,Mathematics
185|Johann Heinrich Lambert|1728|Mathematics,Astronomy,Physicist,Philosophy
186|Paolo Frisi|1728|Astronomy
187|Johann Daniel Titius|1729|Astronomy,Physics,Biology
188|Nehemiah Strong|1729|Astronomy,Meteorologist
189|Charles Messier|1730|Astronomy
190|Charles Bossut|1730|Mathematics
191|Étienne Bézout|1730|Mathematics
192|Benjamin Banneker|1731|Surveying,Farmer
193|Francis Wollaston (astronomer)|1731|Astronomy
194|David Rittenhouse|1732|Astronomy
195|Nevil Maskelyne|1732|Astronomy
196|Jérôme Lalande|1732|Astronomy
197|Wenceslaus Johann Gustav Karsten|1732|Mathematics
198|José Celestino Mutis|1732|Artist,Priest,Botany,Mathematics
201|Jeremiah Dixon|1733|Astronomy,Surveying
202|Jean-Charles de Borda|1733|Mathematics
203|Carsten Niebuhr|1733|Cartography,Mathematician,Exploration
207|Antonio Maria Lorgna|1735|Engineering,Mathematics
208|Gregorio Fontana|1735|Geometry
209|Jesse Ramsden|1735|Astronomy,Optics
212|Joseph-Louis Lagrange|1736|Astronomy,Mathematics,Mechanics
213|Charles Hutton|1737|Mathematics
214|Nicolas Vilant|1737|Mathematics
215|William Herschel|1738|Astronomy,Music
216|Anders Johan Lexell|1740|Mathematics,Astronomy,Physicist
217|Jacques-André Mallet|1740|Astronomy,Mathematics
222|Robert Hamilton (economist)|1743|Political economy
223|Pierre Méchain|1744|Astronomy
226|Caspar Wessel|1745|Mathematics
227|Giuseppe Piazzi|1746|Astronomy
229|William Trail|1746|Mathematics
230|Jacques Charles|1746|Mathematics,Hot air ballooning,Physics
231|Johann Elert Bode|1747|Astronomy
234|Pietro Cossali|1748|Astronomy,History of mathematics
235|Charles de Tinseau d'Amondans|1748|Politics,Mathematics
236|Pierre-Simon Laplace|1749|Astronomy,Mathematics
237|Caroline Herschel|1750|Astronomy
238|Gilbert Romme|1750|Politician,Mathematician
239|Isaac Milner|1750|Chemistry
241|Barnaba Oriani|1752|Astronomy
244|Nicola Fergola|1753|Mathematics
245|Franz Xaver von Zach|1754|Astronomy
248|Gaspard de Prony|1755|Mathematics,Hydraulics
249|Marc-Antoine Parseval|1755|Mathematics
251|Nicolas Fuss|1755|Mathematics
252|Ernst Chladni|1756|Physics
254|John West (mathematician)|1756|Mathematics
255|Thomas Jones (mathematician)|1756|Mathematics
256|Heinrich Wilhelm Matthias Olbers|1758|Astronomy,Medicine
259|Pietro Paoli|1759|Mathematics
261|Louis François Antoine Arbogast|1759|Mathematics
262|Auguste-Savinien Leblond|1760|Mathematics
264|Jean-Louis Pons|1761|Astronomy
265|Josef de Mendoza y Ríos|1761|Navigation
266|Blasius Merrem|1761|Natural history,Zoology
267|José Joaquín de Ferrer|1763|Cartography,Astronomy,Navigation,Mathematics
268|John Goodricke|1764|Astronomy
270|Luca de Samuele Cagnazzi|1764|Archdeacon,Professor,Legislator
272|Thomas Norris (1765–1852)|1765|Astronomy,Private collection
273|Sylvestre François Lacroix|1765|Mathematics
274|James Ivory (mathematician)|1765|Mathematics,Theology
276|Pierre-Simon Girard|1765|Engineering,Mathematics
277|Paolo Ruffini|1765|Mathematics
278|Johann Friedrich Pfaff|1765|Mathematics
279|John Leslie (physicist)|1766|Physics
280|Alexis Bouvard|1767|Astronomy
282|Francisco José de Caldas|1768|Geography,Writer,Botany,Astronomy,Military Engineering
283|Vincenzo Brunacci|1768|Mathematics
284|François Français|1768|Mathematics
285|Jean-Robert Argand|1768|Mathematics
286|Joseph Fourier|1768|History,Mathematics,Physicist
287|Li Rui (mathematician)|1768|Mathematics
289|Jean Nicolas Pierre Hachette|1769|Mathematics
290|Johann Christian Martin Bartels|1769|Geometry
291|William Gooch (astronomer)|1770|Astronomy
