,nom,prenom,genre,poste,debut,fin
0,corswant,andre,M,comite_central,1944.0,1964.0
1,corswant,andre,M,bureau_politique,1944.0,1964.0
2,guyot,jules,M,comite_central,1944.0,1946.0
3,blaser,frederic,M,comite_central,1949.0,
4,steiger,jean,M,comite_central,1949.0,1987.0
5,frutiger,charles,M,comite_central,1949.0,1952.0
6,sidler,louis,M,comite_central,1959.0,1974.0
7,berger,gerard,M,comite_central,1964.0,1991.0
8,corswant_hirsch,marcelle,F,comite_central,1968.0,1974.0
9,sidler,louis,M,bureau_politique,1968.0,1974.0
10,blaser,frederic,M,bureau_politique,1968.0,
11,blaser,jean,M,comite_central,1968.0,1987.0
12,broillet,etienne,M,comite_central,1968.0,1978.0
13,greub,margot,F,comite_central,1974.0,1983.0
14,dind,jacques,M,comite_central,1978.0,1983.0
15,bringolf,alain,M,comite_central,1983.0,
16,gerussi,marie-claire,F,comite_central,1983.0,1991.0
17,steiger-beguin,frederique,F,comite_central,1987.0,1991.0
18,berger,gerard,M,bureau_politique,1991.0,
19,bringolf,alain,M,bureau_politique,1991.0,
