,nom,prenom,genre,delegue,debut,fin
0,blant-mojon,colette,F,comite_cantonal,1974.0,1978.0
1,corswant_hirsch,marcelle,F,comite_cantonal,1974.0,1983.0
2,beuret,helene,F,comite_cantonal,1974.0,1978.0
3,greub,margot,F,comite_cantonal,1974.0,1982.0
4,Eplattenier,lily,F,comite_cantonal,1974.0,1978.0
5,roulet,ginette,F,comite_cantonal,1974.0,1974.0
6,steigmeier,luce,F,comite_cantonal,1975.0,1976.0
7,bottani,anna,F,comite_cantonal,1976.0,1977.0
8,grasso,elisabeth,F,comite_cantonal,1976.0,1978.0
9,vuillemin,marlyse,F,comite_cantonal,1976.0,1976.0
10,corswant_boegli,lucienne,F,comite_cantonal,1977.0,1978.0
11,perinat,maryse,F,comite_cantonal,1979.0,1982.0
12,gerussi,marie-claire,F,comite_cantonal,1979.0,1985.0
13,bigarini_gether,suzanne,F,comite_cantonal,1983.0,1985.0
14,froidevaux,nicole,F,comite_cantonal,1983.0,1985.0
