,nom,prenom,genre,delegue,debut,fin
0,blant-mojon,colette,F,comite_cantonal,1974.0,1978.0
1,corswant_hirsch,marcelle,F,comite_cantonal,1974.0,1983.0
2,beuret,helene,F,comite_cantonal,1974.0,1978.0
3,greub,margot,F,comite_cantonal,1974.0,1982.0
4,Eplattenier,lily,F,comite_cantonal,1974.0,1978.0
5,duvanel,jean,M,comite_cantonal,1974.0,1974.0
6,hirschi,gerard,M,comite_cantonal,1974.0,1978.0
7,guillod,jacques,M,comite_cantonal,1974.0,1978.0
8,dind,jacques,M,comite_cantonal,1974.0,1974.0
9,gremaud,armand,M,comite_cantonal,1974.0,1974.0
10,vuilleumier,raymond,M,comite_cantonal,1974.0,1974.0
11,lagger,paul,M,comite_cantonal,1974.0,1974.0
12,blaser,frederic,M,comite_cantonal,1974.0,1985.0
13,blaser,jean,M,comite_cantonal,1974.0,1975.0
14,donze,laurent,M,comite_cantonal,1974.0,1975.0
15,emery,michel,M,comite_cantonal,1974.0,1978.0
16,roulet,charles,M,comite_cantonal,1974.0,1974.0
17,steiger,jean,M,comite_cantonal,1974.0,1985.0
18,broillet,etienne,M,comite_cantonal,1974.0,1978.0
19,roulet,pierre,M,comite_cantonal,1974.0,1982.0
20,blant,rene,M,comite_cantonal,1974.0,1975.0
21,lengacher,henri,M,comite_cantonal,1974.0,1978.0
22,berger,gerard,M,comite_cantonal,1974.0,1985.0
23,roulet,ginette,F,comite_cantonal,1974.0,1974.0
24,leimgruber,claude,M,comite_cantonal,1974.0,1985.0
25,bringolf,gerald,M,comite_cantonal,1974.0,1974.0
26,steigmeier,luce,F,comite_cantonal,1975.0,1976.0
27,greub,andre,M,comite_cantonal,1975.0,1983.0
28,debieux,charly,M,comite_cantonal,1975.0,1985.0
29,bringolf,alain,M,comite_cantonal,1975.0,1985.0
30,gassmann,heinz,M,comite_cantonal,1975.0,1978.0
31,bottani,anna,F,comite_cantonal,1976.0,1977.0
32,humbert,fred-alain_nago,M,comite_cantonal,1976.0,1982.0
33,grasso,elisabeth,F,comite_cantonal,1976.0,1978.0
34,ramseyer,gerald,M,comite_cantonal,1976.0,1978.0
35,vuillemin,marlyse,F,comite_cantonal,1976.0,1976.0
36,corswant_boegli,lucienne,F,comite_cantonal,1977.0,1978.0
37,perinat,maryse,F,comite_cantonal,1979.0,1982.0
38,kuhn,joelle,M,comite_cantonal,1979.0,1985.0
39,schulthess,daniel,M,comite_cantonal,1979.0,1982.0
40,blaser,jean-pierre,M,comite_cantonal,1979.0,1979.0
41,gerussi,marie-claire,F,comite_cantonal,1979.0,1985.0
42,bolle,louis,M,comite_cantonal,1979.0,1982.0
43,bonfanti,gabriel,M,comite_cantonal,1979.0,1984.0
44,boder,alain,M,comite_cantonal,1979.0,1982.0
45,bottani,arnold,M,comite_cantonal,1983.0,1985.0
46,de_la_reusille,charly,M,comite_cantonal,1983.0,1985.0
47,bigarini_gether,suzanne,F,comite_cantonal,1983.0,1985.0
48,camponovo,remy,M,comite_cantonal,1983.0,1984.0
49,belza,firmin,M,comite_cantonal,1983.0,1985.0
50,bloudanis,nicolas,M,comite_cantonal,1983.0,1984.0
51,froidevaux,nicole,F,comite_cantonal,1983.0,1985.0
52,werner,andre,M,comite_cantonal,1983.0,1985.0
